COMPANY_CODE;RECEIVE_NUMBER;LINE_NUMBER;ORDER_LINE_NUMBER;UNIT_PRICE;SPECIAL_INST_PRICE;METS_PRICE;CUT_EDGE_PRICE;JOB_INST_PRICE;MOUNT_PRICE;DISCOUNT_AMOUNT;SPECIAL_INST_DISC_AMOUNT;MOUNT_DISC_AMOUNT;METS_DISC_AMOUNT;CUT_EDGE_DISC_AMOUNT;JOB_INST_DISC_AMOUNT;METS_DISC_RATE;CUT_EDGE_DISC_RATE;JOB_INST_DISC_RATE;MOUNT_DISC_RATE;COMPLETE_FRAME_PRICE;COMPLETE_FRAME_DISC_AMOUNT;COMPLETE_FRAME_DISC_RATE;TAX_RATE;TAX_AMOUNT
AB31;24978950;1;1;100.00;0.00;0.00;300.00;0.00;200.00;100.00;0.00;200.00;0.00;300.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24978950;2;2;100.00;0.00;0.00;300.00;0.00;200.00;100.00;0.00;200.00;0.00;300.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24978951;1;1;10920.00;0.00;0.00;0.00;0.00;405.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24978951;2;2;10920.00;0.00;0.00;0.00;0.00;405.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB37;11451071;1;1;276.00;0.00;0.00;0.00;0.00;700.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB37;11451071;2;2;276.00;0.00;0.00;0.00;0.00;700.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB37;11451072;1;1;10000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB37;11451072;2;2;10000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24978952;1;1;100.00;0.00;0.00;300.00;0.00;200.00;100.00;0.00;200.00;0.00;300.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24978952;2;2;100.00;0.00;0.00;300.00;0.00;200.00;100.00;0.00;200.00;0.00;300.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24978953;1;1;6050.00;0.00;0.00;0.00;0.00;405.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24978953;2;2;6050.00;0.00;0.00;0.00;0.00;405.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24978954;1;1;125.00;0.00;0.00;120.00;0.00;180.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24978954;2;2;125.00;0.00;0.00;120.00;0.00;180.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24978955;1;1;100.00;0.00;0.00;300.00;0.00;200.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24978955;2;2;100.00;0.00;0.00;300.00;0.00;200.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24978956;1;1;8540.00;0.00;0.00;0.00;0.00;405.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24978956;2;2;8540.00;0.00;0.00;0.00;0.00;405.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB37;24978957;1;1;14600.00;0.00;0.00;0.00;0.00;700.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB37;24978957;2;2;14600.00;0.00;0.00;0.00;0.00;700.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24979467;1;1;5250.00;0.00;0.00;300.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24979467;2;2;5250.00;0.00;0.00;300.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB37;11451318;1;1;5100.00;0.00;0.00;0.00;0.00;700.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB37;11451318;2;2;5100.00;0.00;0.00;0.00;0.00;700.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24979468;1;1;2737.00;0.00;0.00;0.00;0.00;400.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24979468;2;2;2737.00;0.00;0.00;0.00;0.00;400.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;11451319;1;1;7800.00;0.00;0.00;0.00;0.00;0.00;7800.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;11451319;2;2;7800.00;0.00;0.00;0.00;0.00;0.00;7800.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24979469;1;1;5250.00;0.00;0.00;300.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24979469;2;2;5250.00;0.00;0.00;300.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24979470;1;1;750.00;0.00;0.00;200.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24979470;2;2;750.00;0.00;0.00;200.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
AB31;24979471;1;1;290.00;0.00;0.00;251.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0;0;0.00
