COMPANY_CODE;RECEIVE_NUMBER;RECEIVE_DATE;ORDER_LAYOUT_TYPE;TOTAL_GROSS_AMOUNT;TOTAL_DISCOUNT_AMOUNT;TOTAL_NET_AMOUNT;TOTAL_TAX_AMOUNT;PACKING_POSTING_AMOUNT;PACKING_POSTING_TAX_AMOUNT;TOTAL_INVOICE_AMOUNT;TOTAL_DETAIL_LINE_COUNT
AB31;24979001;20230530;RX;992.00;0.00;992.00;0.00;0.00;0.00;0.00;2
AB31;24979002;20230530;RX;1400.00;0.00;1400.00;0.00;0.00;0.00;0.00;2
AB31;24979003;20230530;RX;12200.00;0.00;12200.00;0.00;0.00;0.00;0.00;2
AB31;24979004;20230530;RX;1260.00;0.00;1260.00;0.00;0.00;0.00;0.00;2
AB31;24979005;20230530;RX;1200.00;1200.00;0.00;0.00;0.00;0.00;0.00;2
AB31;24979006;20230530;RX;1982.00;0.00;1982.00;0.00;0.00;0.00;0.00;2
AB31;24979007;20230530;RX;1380.00;0.00;1380.00;0.00;0.00;0.00;0.00;2
AB31;24979008;20230530;RX;4600.00;0.00;4600.00;0.00;0.00;0.00;0.00;2
AB37;24979009;20230530;RX;16200.00;0.00;16200.00;0.00;0.00;0.00;0.00;2
AB31;24979010;20230530;RX;6100.00;0.00;6100.00;0.00;0.00;0.00;0.00;2
AB31;24979011;20230530;RX;1380.00;0.00;1380.00;0.00;0.00;0.00;0.00;2
AB31;24979012;20230530;RX;1982.00;0.00;1982.00;0.00;0.00;0.00;0.00;2
AB31;24979013;20230530;RX;1200.00;1200.00;0.00;0.00;0.00;0.00;0.00;2
AB31;24979014;20230530;RX;1082.00;0.00;1082.00;0.00;0.00;0.00;0.00;2
AB31;24979015;20230530;RX;1380.00;0.00;1380.00;0.00;0.00;0.00;0.00;2
AB31;24979016;20230530;RX;1200.00;1200.00;0.00;0.00;0.00;0.00;0.00;2
AB31;24979017;20230530;RX;3150.00;0.00;3150.00;0.00;0.00;0.00;0.00;2
AB31;24979018;20230530;RX;1200.00;0.00;1200.00;0.00;0.00;0.00;0.00;2
AB31;24979019;20230530;RX;1200.00;1200.00;0.00;0.00;0.00;0.00;0.00;2
AB37;24979020;20230530;RX;18000.00;0.00;18000.00;0.00;0.00;0.00;0.00;2
AB31;24979021;20230530;RX;3900.00;0.00;3900.00;0.00;0.00;0.00;0.00;2
AB31;24981184;20230530;RX;7502.00;0.00;7502.00;0.00;0.00;0.00;0.00;2
AB31;24981185;20230530;RX;17010.00;0.00;17010.00;0.00;0.00;0.00;0.00;2
AB31;24981186;20230530;RX;5860.00;0.00;5860.00;0.00;0.00;0.00;0.00;2
AB37;24980363;20230530;RX;12316.00;0.00;12316.00;0.00;0.00;0.00;0.00;2
AB31;11451672;20230530;RX;1400.00;0.00;1400.00;0.00;0.00;0.00;0.00;2
AB31;24980364;20230530;RX;19400.00;0.00;19400.00;0.00;0.00;0.00;0.00;2
AB31;24980365;20230530;RX;1082.00;0.00;1082.00;0.00;0.00;0.00;0.00;2
AB37;24980366;20230530;RX;8600.00;0.00;8600.00;0.00;0.00;0.00;0.00;2
AB37;24980367;20230530;RX;13064.00;0.00;13064.00;0.00;0.00;0.00;0.00;2
AB31;24980368;20230530;RX;7130.00;0.00;7130.00;0.00;0.00;0.00;0.00;2
AB31;24980369;20230530;RX;1480.00;0.00;1480.00;0.00;0.00;0.00;0.00;2
AB31;24980370;20230530;RX;24100.00;6742.00;17358.00;0.00;0.00;0.00;0.00;2
AB31;24980371;20230530;RX;9700.00;0.00;9700.00;0.00;0.00;0.00;0.00;2
AB31;11451673;20230530;RX;16900.00;0.00;16900.00;0.00;0.00;0.00;0.00;2
AB31;24980372;20230530;RX;850.00;0.00;850.00;0.00;0.00;0.00;0.00;2
AB31;11451674;20230530;RX;16900.00;16900.00;0.00;0.00;0.00;0.00;0.00;2
AB31;24980373;20230530;RX;1812.00;0.00;1812.00;0.00;0.00;0.00;0.00;2
AB31;24980374;20230530;RX;26680.00;0.00;26680.00;0.00;0.00;0.00;0.00;2
AB31;11451675;20230530;RX;23430.00;0.00;23430.00;0.00;0.00;0.00;0.00;2
AB31;24980375;20230530;RX;5510.00;0.00;5510.00;0.00;0.00;0.00;0.00;2
AB31;24980376;20230530;RX;992.00;0.00;992.00;0.00;0.00;0.00;0.00;2
AB31;24980377;20230530;RX;11900.00;0.00;11900.00;0.00;0.00;0.00;0.00;2
AB31;11451677;20230530;RX;1470.00;0.00;1470.00;0.00;0.00;0.00;0.00;2
AB31;24980378;20230530;RX;1200.00;0.00;1200.00;0.00;0.00;0.00;0.00;2
AB31;24980379;20230530;RX;13400.00;0.00;13400.00;0.00;0.00;0.00;0.00;2
AB31;24980380;20230530;RX;12350.00;0.00;12350.00;0.00;0.00;0.00;0.00;2
AB31;24980381;20230530;RX;5740.00;0.00;5740.00;0.00;0.00;0.00;0.00;2
AB31;24980382;20230530;RX;20900.00;0.00;20900.00;0.00;0.00;0.00;0.00;2
AB31;24980383;20230530;RX;32610.00;0.00;32610.00;0.00;0.00;0.00;0.00;2
AB31;24980384;20230530;RX;7538.00;0.00;7538.00;0.00;0.00;0.00;0.00;2
AB31;11451678;20230530;RX;1400.00;0.00;1400.00;0.00;0.00;0.00;0.00;2
AB31;24980385;20230530;RX;18500.00;0.00;18500.00;0.00;0.00;0.00;0.00;2
AB31;24980386;20230530;RX;7000.00;0.00;7000.00;0.00;0.00;0.00;0.00;2
AB31;24980389;20230530;RX;18358.00;0.00;18358.00;0.00;0.00;0.00;0.00;2
AB31;11451679;20230530;RX;9500.00;0.00;9500.00;0.00;0.00;0.00;0.00;2
AB31;11451676;20230530;ST;1820.00;0.00;1820.00;0.00;0.00;0.00;1820.00;2
AB31;24980387;20230530;ST;420.00;0.00;420.00;0.00;0.00;0.00;420.00;2
AB31;24980388;20230530;ST;420.00;0.00;420.00;0.00;0.00;0.00;420.00;2
AB37;11451027;20230530;RX;7200.00;3364.00;3836.00;0.00;0.00;0.00;0.00;2
AB37;11451028;20230530;RX;4200.00;1296.00;2904.00;0.00;0.00;0.00;0.00;2
AB37;11451029;20230530;RX;1900.00;0.00;1900.00;0.00;0.00;0.00;0.00;2
AB37;11451030;20230530;RX;2100.00;1050.00;1050.00;0.00;0.00;0.00;0.00;2
AB37;11451031;20230530;RX;6200.00;0.00;6200.00;0.00;0.00;0.00;0.00;2
AB37;11451032;20230530;RX;6000.00;0.00;6000.00;0.00;0.00;0.00;0.00;2
AB37;11451033;20230530;RX;1400.00;1400.00;0.00;0.00;0.00;0.00;0.00;2
AB37;11451034;20230530;RX;6400.00;0.00;6400.00;0.00;0.00;0.00;0.00;2
AB37;11451035;20230530;RX;4700.00;0.00;4700.00;0.00;0.00;0.00;0.00;2
AB31;24981014;20230530;RX;14780.00;0.00;14780.00;0.00;0.00;0.00;0.00;2
AB31;24981015;20230530;RX;6202.00;0.00;6202.00;0.00;0.00;0.00;0.00;2
AB31;24981016;20230530;RX;15000.00;2056.00;12944.00;0.00;0.00;0.00;0.00;2
AB31;24981017;20230530;RX;8800.00;0.00;8800.00;0.00;0.00;0.00;0.00;2
AB31;11451914;20230530;RX;1200.00;0.00;1200.00;0.00;0.00;0.00;0.00;2
AB31;11451915;20230530;RX;2950.00;2950.00;0.00;0.00;0.00;0.00;0.00;2
AB31;24981019;20230530;RX;9966.00;0.00;9966.00;0.00;0.00;0.00;0.00;2
AB31;11451917;20230530;RX;5900.00;0.00;5900.00;0.00;0.00;0.00;0.00;2
AB31;24981020;20230530;RX;1082.00;0.00;1082.00;0.00;0.00;0.00;0.00;2
AB31;11451918;20230530;RX;3560.00;0.00;3560.00;0.00;0.00;0.00;0.00;2
AB31;24981021;20230530;RX;3120.00;0.00;3120.00;0.00;0.00;0.00;0.00;2
AB31;24981022;20230530;RX;490.00;0.00;490.00;0.00;0.00;0.00;0.00;2
AB31;24981023;20230530;RX;3114.00;0.00;3114.00;0.00;0.00;0.00;0.00;2
AB31;24981024;20230530;RX;3114.00;0.00;3114.00;0.00;0.00;0.00;0.00;2
AB31;24981025;20230530;RX;850.00;0.00;850.00;0.00;0.00;0.00;0.00;2
AB31;24981026;20230530;RX;4388.00;0.00;4388.00;0.00;0.00;0.00;0.00;2
AB31;24981027;20230530;RX;850.00;0.00;850.00;0.00;0.00;0.00;0.00;2
AB31;24981028;20230530;RX;2754.00;0.00;2754.00;0.00;0.00;0.00;0.00;2
AB31;24981029;20230530;RX;850.00;0.00;850.00;0.00;0.00;0.00;0.00;2
AB31;24981030;20230530;RX;4168.00;0.00;4168.00;0.00;0.00;0.00;0.00;2
AB31;24981031;20230530;RX;4168.00;0.00;4168.00;0.00;0.00;0.00;0.00;2
AB31;24981032;20230530;RX;850.00;0.00;850.00;0.00;0.00;0.00;0.00;2
AB31;24981033;20230530;RX;2140.00;0.00;2140.00;0.00;0.00;0.00;0.00;2
AB31;24981034;20230530;RX;5362.00;0.00;5362.00;0.00;0.00;0.00;0.00;2
AB31;24981035;20230530;RX;3532.00;0.00;3532.00;0.00;0.00;0.00;0.00;2
AB31;24981036;20230530;RX;2616.00;0.00;2616.00;0.00;0.00;0.00;0.00;2
AB31;24981037;20230530;RX;3948.00;0.00;3948.00;0.00;0.00;0.00;0.00;2
AB31;24981038;20230530;RX;5110.00;0.00;5110.00;0.00;0.00;0.00;0.00;2
AB31;24981039;20230530;RX;490.00;0.00;490.00;0.00;0.00;0.00;0.00;2
AB31;24981040;20230530;RX;2976.00;0.00;2976.00;0.00;0.00;0.00;0.00;2
AB31;24981041;20230530;RX;850.00;0.00;850.00;0.00;0.00;0.00;0.00;2
AB31;24981042;20230530;RX;850.00;0.00;850.00;0.00;0.00;0.00;0.00;2
AB31;24981043;20230530;RX;4248.00;0.00;4248.00;0.00;0.00;0.00;0.00;2
AB31;24981044;20230530;RX;850.00;0.00;850.00;0.00;0.00;0.00;0.00;2
AB31;24981045;20230530;RX;850.00;0.00;850.00;0.00;0.00;0.00;0.00;2
AB31;24981048;20230530;RX;4028.00;0.00;4028.00;0.00;0.00;0.00;0.00;2
AB31;24981049;20230530;RX;4388.00;0.00;4388.00;0.00;0.00;0.00;0.00;2
AB31;24981050;20230530;RX;4110.00;0.00;4110.00;0.00;0.00;0.00;0.00;2
AB31;24981051;20230530;RX;4528.00;0.00;4528.00;0.00;0.00;0.00;0.00;2
AB31;24981052;20230530;RX;850.00;0.00;850.00;0.00;0.00;0.00;0.00;2
AB31;24981053;20230530;RX;850.00;0.00;850.00;0.00;0.00;0.00;0.00;2
AB31;24981054;20230530;RX;4528.00;0.00;4528.00;0.00;0.00;0.00;0.00;2
AB31;24981055;20230530;RX;4110.00;0.00;4110.00;0.00;0.00;0.00;0.00;2
AB31;24981057;20230530;RX;3276.00;0.00;3276.00;0.00;0.00;0.00;0.00;2
AB31;24981058;20230530;RX;1780.00;0.00;1780.00;0.00;0.00;0.00;0.00;2
AB31;24981059;20230530;RX;2400.00;0.00;2400.00;0.00;0.00;0.00;0.00;2
AB31;24981060;20230530;RX;6474.00;0.00;6474.00;0.00;0.00;0.00;0.00;2
AB31;11451919;20230530;RX;6800.00;696.00;6104.00;0.00;0.00;0.00;0.00;2
AB31;24981061;20230530;RX;19178.00;0.00;19178.00;0.00;0.00;0.00;0.00;2
AB31;24981062;20230530;RX;19000.00;0.00;19000.00;0.00;0.00;0.00;0.00;2
AB31;24981063;20230530;RX;850.00;0.00;850.00;0.00;0.00;0.00;0.00;2
AB31;24981064;20230530;RX;850.00;0.00;850.00;0.00;0.00;0.00;0.00;2
AB31;24981065;20230530;RX;850.00;0.00;850.00;0.00;0.00;0.00;0.00;2
AB31;24981066;20230530;RX;490.00;0.00;490.00;0.00;0.00;0.00;0.00;2
AB31;24981067;20230530;RX;2400.00;0.00;2400.00;0.00;0.00;0.00;0.00;2
AB31;11451913;20230530;ST;2700.00;0.00;2700.00;0.00;0.00;0.00;2700.00;2
AB31;11451916;20230530;ST;2610.00;0.00;2610.00;0.00;0.00;0.00;2610.00;1
AB31;24981018;20230530;ST;490.00;0.00;490.00;0.00;0.00;0.00;490.00;2
AB31;24981046;20230530;ST;250.00;0.00;250.00;0.00;0.00;0.00;250.00;2
AB31;24981047;20230530;ST;250.00;0.00;250.00;0.00;0.00;0.00;250.00;2
AB31;11451920;20230530;ST;4000.00;0.00;4000.00;0.00;0.00;0.00;4000.00;2
AB37;24979142;20230530;RX;16200.00;0.00;16200.00;0.00;0.00;0.00;0.00;2
AB31;24979143;20230530;RX;3300.00;0.00;3300.00;0.00;0.00;0.00;0.00;2
AB31;24979144;20230530;RX;2050.00;0.00;2050.00;0.00;0.00;0.00;0.00;2
AB31;11451179;20230530;RX;620.00;620.00;0.00;0.00;0.00;0.00;0.00;1
AB31;11451180;20230530;RX;4610.00;0.00;4610.00;0.00;0.00;0.00;0.00;2
AB31;24979145;20230530;RX;1200.00;1200.00;0.00;0.00;0.00;0.00;0.00;2
AB31;11451181;20230530;RX;10000.00;0.00;10000.00;0.00;0.00;0.00;0.00;2
AB31;24979146;20230530;RX;4388.00;0.00;4388.00;0.00;0.00;0.00;0.00;2
AB31;24979147;20230530;RX;45100.00;15342.00;29758.00;0.00;0.00;0.00;0.00;2
AB31;11451182;20230530;RX;1200.00;0.00;1200.00;0.00;0.00;0.00;0.00;2
AB31;24979148;20230530;RX;5502.00;0.00;5502.00;0.00;0.00;0.00;0.00;2
AB31;11451183;20230530;RX;4250.00;0.00;4250.00;0.00;0.00;0.00;0.00;2
AB37;24979149;20230530;RX;16538.00;8270.00;8268.00;0.00;0.00;0.00;0.00;2
AB31;24979150;20230530;RX;4590.00;0.00;4590.00;0.00;0.00;0.00;0.00;2
AB31;11451184;20230530;RX;21800.00;21800.00;0.00;0.00;0.00;0.00;0.00;2
AB31;24979151;20230530;RX;36500.00;12332.00;24168.00;0.00;0.00;0.00;0.00;2
AB31;11451185;20230530;RX;575.00;0.00;575.00;0.00;0.00;0.00;0.00;1
AB31;24979152;20230530;RX;7000.00;0.00;7000.00;0.00;0.00;0.00;0.00;2
AB31;11451186;20230530;RX;2432.00;0.00;2432.00;0.00;0.00;0.00;0.00;2
AB31;11451187;20230530;RX;8800.00;100.00;8700.00;0.00;0.00;0.00;0.00;2
AB31;24979153;20230530;RX;3802.00;0.00;3802.00;0.00;0.00;0.00;0.00;2
AB31;24979155;20230530;RX;23500.00;9176.00;14324.00;0.00;0.00;0.00;0.00;2
AB31;24979156;20230530;RX;4238.00;0.00;4238.00;0.00;0.00;0.00;0.00;2
AB31;24979157;20230530;RX;1200.00;1200.00;0.00;0.00;0.00;0.00;0.00;2
AB31;24979158;20230530;RX;4866.00;0.00;4866.00;0.00;0.00;0.00;0.00;2
AB31;24979159;20230530;RX;5800.00;0.00;5800.00;0.00;0.00;0.00;0.00;2
